date,resid,resid_romer,resid_full
1977m5,-.050660541892,-.0511104017496109,-.0812620893120766
1977m6,-.14558370434,-.1458833664655685,-.1617477089166641
1977m7,-.239648919521,-.2390256077051163,-.2647126019001007
1977m8,.030461662118,.0308083761483431,.0071981400251389
1977m9,.07324668513,.0734312310814857,.0445310808718204
1977m10,-.025861244019,-.0259448550641537,-.0378373898565769
1977m11,-.048292817432,-.0482821948826313,-.0673084557056427
1977m12,-.121818970967,-.1222831979393959,-.1157469600439072
1978m1,-.205460587714,-.2055440992116928,-.2130739092826843
1978m2,.106016918345,.105831116437912,.058576688170433
1978m3,.042212118642,.0423748195171356,.0036567049100995
1978m4,-.068913774326,-.0688514858484268,-.088805615901947
1978m5,-.215945595581,-.2163071483373642,-.242092028260231
1978m6,.24337867673,.2420437932014465,.1864237487316132
