frequency,variable,nonmissing,mean,sd,min,max
monthly,bs_fomc_MPS_ORTH,422,5.787892545439204e-18,0.04693373594568024,-0.2394725252651965,0.18162651841620914
monthly,bs_fomc_NFP_SURP,431,14.05800464037123,504.41642207623977,-844.0,10009.0
monthly,bs_fomc_NFP_12M,431,1.0346808146091475,2.670359070798553,-12.42430494642246,21.9490320777469
monthly,bs_fomc_SP500_3M,431,0.011297041819110202,0.09342629652704351,-1.0602905950334582,0.42379184487513744
monthly,bs_fomc_SLOPE_3M,431,0.0011623376263623726,0.49717391625748125,-3.2306199223842516,2.5343404083849075
monthly,bs_fomc_BCOM_3M,431,0.006639513515099937,0.10153303965992902,-1.0036809110903828,0.39099262273668156
monthly,bs_fomc_TR_SKEW,431,0.1015910512550095,0.36484503591165285,-3.1966374545454546,2.0988409090909093
monthly,bs_fomc_event_count,431,0.8375870069605569,0.7962573653227907,0.0,7.0
monthly,usmpd_me_MP1,387,-0.007421609201638618,0.06258486994455272,-0.575000000000017,0.19255769230768494
monthly,usmpd_me_MP2,387,-0.005961310619115751,0.04193975725332344,-0.3898437499999948,0.1509999999999553
monthly,usmpd_me_FF1,387,-0.004192480620155444,0.03504296279567391,-0.3624999999999968,0.14
monthly,usmpd_me_FF2,387,-0.005399198966408467,0.04548168161260127,-0.425,0.16999999999998738
monthly,usmpd_me_OIS1Y,304,-0.0021792763157894727,0.036090584806646855,-0.2327500000000002,0.152
monthly,usmpd_me_OIS2Y,242,-0.004024586776859472,0.038513071888127366,-0.2514999999999989,0.1265
monthly,usmpd_me_UST2Y,387,-0.005380878108527117,0.05403000504428649,-0.3813,0.1937999999999998
monthly,usmpd_me_UST5Y,387,-0.006145088310077529,0.059314565903680505,-0.5838999999999998,0.1582999999999997
monthly,usmpd_me_UST10Y,387,-0.004046899467700254,0.04982792808621599,-0.5225,0.1162
monthly,usmpd_me_SP500,370,0.0029796054659448584,0.7639198920404017,-8.790149670807846,3.7573866296672573
monthly,usmpd_me_SPFUT,356,0.06342326093413954,0.6512702172951937,-2.53668966857809,4.135934021932846
monthly,usmpd_me_DXY,387,-0.021068410726265297,0.33980673464299604,-2.4771577265924796,1.109418373164611
monthly,usmpd_me_SEP,387,0.19121447028423771,0.39376661639078947,0.0,1.0
monthly,usmpd_me_Unscheduled,387,0.046511627906976744,0.3185247352856498,0.0,5.0
monthly,usmpd_me_PC,387,0.23772609819121446,0.43227677448312457,0.0,2.0
monthly,usmpd_me_event_count,387,0.7131782945736435,0.5462135101758647,0.0,5.0
monthly,bs_m_MPS_ORTH_y,28,-1.4283589192373316e-13,0.8961830620136579,-2.2652917688109997,1.6534360828270003
monthly,rr_resid_romer,39,-0.08936140085335445,0.9250906086117853,-2.268743551336229,1.6554864197969437
monthly,rr_resid_full,39,2.5372570141767845e-09,0.9216211230049199,-2.1261103032156825,1.8784849420189857
monthly,uk_Target,345,-0.0026138213247921148,0.05276188178018007,-0.5160356272130696,0.2260871653375677
monthly,uk_Path,345,-0.005511196028168714,0.0351034449249587,-0.1562697577034655,0.16595565893883243
monthly,uk_QE,345,-0.0026404631991753347,0.032023182961163535,-0.17650417790654616,0.1261701237679819
monthly,uk_event_count,345,1.2115942028985507,0.6369294601253721,0.0,2.0
quarterly,jk_pc1_hf,145,-0.028986773586206896,0.10613512067595697,-0.49403641000000004,0.20255837
quarterly,jk_SP500_hf,145,0.07118475862068964,0.74312950613257,-2.18295,3.39256
quarterly,jk_MP_pm,145,-0.02245779848275862,0.10025206627719342,-0.49403641000000004,0.2433427
quarterly,jk_CBI_pm,145,-0.004608941310344828,0.026608064918470193,-0.11856055,0.10474734
quarterly,jk_MP_median,145,-0.01781086324137931,0.08470276142273492,-0.37653038,0.17712881
quarterly,jk_CBI_median,145,-0.00925587655172414,0.04416646952114728,-0.17760301,0.09399472
quarterly,ident_bp_u1,135,-2.221766814814815,9.363736618515807,-46.143910000000005,26.15118
quarterly,ident_bp_u2,135,-0.09242696296296297,5.5786624235455875,-13.858889999999999,15.1691
quarterly,ident_bp_u3,135,-0.2207393333333334,3.9282806502775576,-27.97346,10.89644
quarterly,ident_bp_u4,135,0.04663007407407407,2.1504323805248324,-8.323459999999999,11.0791
quarterly,ident_bp_event_count,135,2.2,0.8177143244543994,1.0,8.0
