date,IPP_qi,HT_qi,EQP_qi,NRS_qi,RI_qi,D_qi,GDP,IPP_nom,HT_nom,EQP_nom,NRS_nom,RI_nom,D_nom,GDP_nom,DGS1_Q,NHT_qi,NHT_nom,Intangible_qi,Tangible_qi,TI_qi,lTI,lTangible,lIntangible,lIPP,lHT,lNHT,lNRS,lRI,lD,lGDP,Intangible_nom,Tangible_nom,TI_nom,share_TI_IPP,share_GDP_IPP,share_TI_HT,share_GDP_HT,share_TI_NHT,share_GDP_NHT,share_TI_NRS,share_GDP_NRS,share_TI_RI,share_GDP_RI,share_TI_D,share_GDP_D,share_TI_Intangible,share_GDP_Intangible,share_TI_Tangible,share_GDP_Tangible,RR
2007-04-01,60.666,51.476,72.362,74.537,110.746,69.22,16713.314,541.758,308.172,897.845,484.892,719.274,1185.692,14402.082,4.93421875,567.5785622066928,589.673,17590.73791381153,851.941939008446,1304.4928474375806,717.3569621570246,674.7518377803522,977.5127787608461,410.53834093373166,394.11156796314185,634.1379175380741,431.1295646393856,470.72392908915066,423.72898382071986,972.3960926282438,849.9300000000001,2979.531,3829.4610000000002,0.1414710843118653,0.037616644593469195,0.08047398837590983,0.021397739576819518,0.1539832890320596,0.04094359412757128,0.12662147492819484,0.03366818769675107,0.18782643301498564,0.04994236250008853,0.30962373033698476,0.08232781899172634,0.22194507268777514,0.05901438417028872,0.7780549273122248,0.2068819633161372,
2007-07-01,60.875,53.205,72.731,75.706,103.707,70.067,16809.587,544.679,309.266,896.02,512.206,673.671,1191.859,14564.117,4.535079365079365,562.2003800474629,586.7539999999999,17841.78724315841,843.1572898331619,1298.0914303798202,716.8650334213049,673.7153524029316,978.929858290753,410.8822581402753,397.41523768936946,633.185833447267,432.6857417540257,464.15696153680966,424.9451927137354,972.9704657391744,853.9449999999999,2964.49,3818.4349999999995,0.14264456511633694,0.037398697085446374,0.08099286749676243,0.021234792332415348,0.153663477314659,0.040287646686716395,0.13414029569705915,0.0351690390842095,0.17642594413679955,0.046255533376997726,0.312132850238383,0.0818353079695803,0.22363743261309935,0.058633489417861714,0.7763625673869007,0.2035475271175039,
2007-10-01,62.162,56.611,73.162,76.874,95.083,70.591,16915.191,556.724,318.985,893.612,531.223,618.156,1195.599,14715.058,3.6350000000000002,549.0421652165254,574.627,18492.406231844783,827.4737639360156,1289.5946825164137,716.2083248385002,671.8377401535323,982.5115452844585,412.97438805739614,403.62033126160964,630.8175242233368,434.2167717911994,455.4750194371173,425.69026576195483,973.5967372903939,875.7090000000001,2919.6049999999996,3795.3139999999994,0.14668720427348045,0.03783362593609893,0.08404706435356865,0.02167745448234047,0.15140433703245634,0.03905027081782484,0.1399681291192244,0.036100639222760786,0.16287348029701892,0.04200839711267192,0.31501978492425137,0.08125003652720905,0.2307342686270491,0.059511080418439395,0.769265731372951,0.1984093436804666,
2008-01-01,63.322,56.855,72.757,77.179,87.519,68.309,16843.003,571.436,316.727,885.403,540.83,566.675,1153.509,14706.538,2.1129508196721307,543.0249423289127,568.676,18740.387866508547,801.0482775848662,1261.66730457544,714.0189382811323,668.5921216893628,983.8436252830551,414.8232820110965,404.0504167076686,629.7155253186378,434.61273993009934,447.1855912648614,422.40415294915306,973.1690597313907,888.163,2829.69,3717.853,0.1537005363041519,0.03885591564785676,0.08519083460265911,0.02153647581776214,0.15295817236453405,0.03866824401500884,0.1454683657476506,0.03677480043229753,0.1524199585083111,0.038532182081194084,0.31026213247269324,0.07843511504883066,0.238891370906811,0.060392391465618894,0.761108629093189,0.1924103415773311,
2008-04-01,63.94,57.481,71.881,77.335,83.555,67.823,16943.291,580.278,316.33,871.824,555.738,538.808,1137.729,14865.701,2.0659375,529.6396161858755,555.4939999999999,18931.643246920128,787.6851251092804,1248.6410297398158,712.9811062683466,666.9098422576778,984.8590046929306,415.7945143631696,405.1454458415094,627.2196805801472,434.8146634490103,442.5505097655346,421.69013704581806,973.7627223245223,896.608,2787.7690000000002,3684.3770000000004,0.1574969119609638,0.03903468797065137,0.08585712048468437,0.021279184883376843,0.15077013020111674,0.03736749447604253,0.15083635578009524,0.03738390809824576,0.14624127769769488,0.03624504488553887,0.3087982038754449,0.07653382776903693,0.24335403244564816,0.06031387285402821,0.7566459675543518,0.18753027522886412,
2008-07-01,63.195,56.453,69.622,75.892,79.316,65.535,16854.295,576.058,307.782,852.11,562.617,507.06,1095.819,14898.999,2.12640625,508.9543546669818,544.328,18669.34595952754,760.0142207369485,1211.1882708693004,709.935719874371,663.3337144601303,983.4638204295342,414.62251840990893,403.34084335591126,623.2358336040115,432.9311277001887,437.3439873736559,418.2584351071509,973.2360799442439,883.8399999999999,2709.8239999999996,3593.6639999999998,0.16029823600648252,0.03866420824647347,0.08564573649623337,0.02065789788965017,0.1514688073231109,0.03653453497110779,0.1565580421541914,0.03776206710262884,0.1410983330661965,0.034033158871948375,0.30493084495378536,0.07354984049599574,0.24594397250271588,0.05932210613612364,0.7540560274972841,0.18187960144168072,
2008-10-01,62.747,52.655,61.521,71.472,71.596,60.711,16485.35,569.762,284.329,772.186,560.71,451.391,1007.986,14608.209,0.9891935483870967,436.19606946428684,487.857,18137.69804010481,692.1554155434795,1120.7209542574292,702.1727466355685,653.9810519337015,980.5747815953223,413.9110768104078,396.37612008325607,607.8091842870183,426.93057646097634,427.1039206484254,410.6124900757632,971.0227386702954,854.0909999999999,2507.944,3362.035,0.16946938387018576,0.039002864759122756,0.08457050566100592,0.019463645406497126,0.14510765057472633,0.03339608572139131,0.16677696692628127,0.03838321316459807,0.13426124356230676,0.03089981804066467,0.299814249405494,0.06900134027381453,0.25403988953119166,0.058466510165619885,0.7459601104688084,0.17168045720046857,
2009-01-01,61.033,51.037,54.664,66.087,64.654,60.818,16298.262,550.136,270.577,683.537,512.642,404.473,1004.48,14430.902,0.5719672131147541,368.4244219630739,412.96000000000004,17621.62004428678,646.6477566777564,1057.4995715434939,696.3662505760534,647.180172071081,977.6881838753228,411.14147015009917,393.2550859879607,590.9235594157535,419.09720558056927,416.90499749202934,410.7885797788767,969.8813755343051,820.713,2334.5550000000003,3155.268,0.1743547616240522,0.03812207996423231,0.08575404688286384,0.01874983282403276,0.13087953226160187,0.02861636784727663,0.16247177735773952,0.035523905574301594,0.12818974489647156,0.02802825492127935,0.31835013697727105,0.06960618262115563,0.26010880850691603,0.05687191278826507,0.739891191493084,0.16177471096401322,
2009-04-01,62.563,51.067,52.502,64.077,60.679,60.376,16269.145,559.711,266.2,652.184,458.851,374.685,994.7,14381.236,0.5211111111111111,344.48685177599305,385.984,17919.990004106465,625.7832816092857,1036.6640050137405,694.3763148991013,643.9004115648274,979.3672128722208,413.61740490514956,393.31384960322214,584.2055923617946,416.0085485184777,410.55976744500083,410.0591674982567,969.7025648125424,825.9110000000001,2214.2200000000003,3040.1310000000003,0.1841075269453849,0.038919533759128905,0.08756201624206324,0.018510230970411722,0.12696294995182772,0.02683941769678211,0.15093132499882406,0.03190622836590679,0.12324633379285299,0.026053741138800587,0.327189848069047,0.06916651670273681,0.2716695431874482,0.05742976472954063,0.7283304568125518,0.15396590390422632,
2009-07-01,63.204,53.518,53.834,63.704,63.498,63.309,16326.281,564.471,277.197,662.038,416.227,389.385,1035.104,14448.882,0.44796874999999997,347.9495652565048,384.841,18318.925141547552,644.5367169986202,1065.5545314913056,697.1250629479463,646.8531790498375,981.5689965193986,414.63675902892527,398.0018045913954,585.2057541847644,415.4247354955143,415.1008409339642,414.8027499138285,970.0531419672564,841.668,2225.557,3067.225,0.1840331244039808,0.03906675962887648,0.09037387214827736,0.01918466771339125,0.12546878693281388,0.026634655885486504,0.13570148913105495,0.02880686547235973,0.12695025633919912,0.026949143885319292,0.337472471044674,0.07163903753937502,0.27440699655225814,0.05825142734226773,0.7255930034477418,0.15402970278254052,
